Type	latency	duration
cross	0	1.03
slide1.png	1.03	4.03
cross	5.06	1.03
slide2.png	6.09	4.03
cross	10.12	1.03
slide3.png	11.15	4.03
cross	15.18	1.03
slide4.png	16.21	4.03
cross	20.24	1.03
slide5.png	21.27	4.03
cross	25.3	1.03
slide6.png	26.33	4.03
cross	30.36	1.03
slide7.png	31.39	4.03
cross	35.42	1.03
slide8.png	36.45	4.03
cross	40.48	1.03
slide9.png	41.51	4.03
cross	45.54	1.03
slide10.png	46.57	4.03
cross	50.6	1.03
slide11.png	51.63	4.03
cross	55.66	1.03
slide12.png	56.69	4.03
cross	60.72	1.03
slide13.png	61.75	4.03
cross	65.78	1.03
slide14.png	66.81	4.03
cross	70.84	1.03
slide15.png	71.87	4.03
cross	75.9	1.03
slide16.png	76.93	4.03
cross	80.96	1.03
slide17.png	81.99	4.03
cross	86.02	1.03
slide18.png	87.05	4.03
cross	91.08	1.03
slide19.png	92.11	4.03
cross	96.14	1.03
slide20.png	97.17	4.03
cross	101.2	1.03
slide21.png	102.23	4.03
cross	106.26	1.03
slide22.png	107.29	4.03
cross	111.32	1.03
slide23.png	112.35	4.03
cross	116.38	1.03
slide24.png	117.41	4.03
cross	121.44	1.03
slide25.png	122.47	4.03
cross	126.5	1.03
slide26.png	127.53	4.03
cross	131.56	1.03
slide27.png	132.59	4.03
cross	136.62	1.03
slide28.png	137.65	4.03
cross	141.68	1.03
slide29.png	142.71	4.03
cross	146.74	1.03
slide30.png	147.77	4.03
cross	151.8	1.03
slide31.png	152.83	4.03
cross	156.86	1.03
slide32.png	157.89	4.03
cross	161.92	1.03
slide33.png	162.95	4.03
cross	166.98	1.03
slide34.png	168.01	4.03
cross	172.04	1.03
slide35.png	173.07	4.03
cross	177.1	1.03
slide36.png	178.13	4.03
cross	182.16	1.03
slide37.png	183.19	4.03
cross	187.22	1.03
slide38.png	188.25	4.03
cross	192.28	1.03
slide39.png	193.31	4.03
cross	197.34	1.03
slide40.png	198.37	4.03
cross	202.4	1.03
slide41.png	203.43	4.03
cross	207.46	1.03
slide42.png	208.49	4.03
cross	212.52	1.03
slide43.png	213.55	4.03
cross	217.58	1.03
slide44.png	218.61	4.03
cross	222.64	1.03
slide45.png	223.67	4.03
cross	227.7	1.03
slide46.png	228.73	4.03
cross	232.76	1.03
slide47.png	233.79	4.03
cross	237.82	1.03
slide48.png	238.85	4.03
cross	242.88	1.03
slide49.png	243.91	4.03
cross	247.94	1.03
slide50.png	248.97	4.03
cross	253	1.03
slide51.png	254.03	4.03
cross	258.06	1.03
slide52.png	259.09	4.03
cross	263.12	1.03
slide53.png	264.15	4.03
cross	268.18	1.03
slide54.png	269.21	4.03
cross	273.24	1.03
slide55.png	274.27	4.03
cross	278.3	1.03
slide56.png	279.33	4.03
cross	283.36	1.03
slide57.png	284.39	4.03
cross	288.42	1.03
slide58.png	289.45	4.03
cross	293.48	1.03
slide59.png	294.51	4.03
cross	298.54	1.03
slide60.png	299.57	4.03
cross	303.6	1.03
slide61.png	304.63	4.03
cross	308.66	1.03
slide62.png	309.69	4.03
cross	313.719999999999	1.03
slide63.png	314.749999999999	4.03
cross	318.779999999999	1.03
slide64.png	319.809999999999	4.03
cross	323.839999999999	1.03
slide65.png	324.869999999999	4.03
cross	328.899999999999	1.03
slide66.png	329.929999999999	4.03
cross	333.959999999999	1.03
slide67.png	334.989999999999	4.03
cross	339.019999999999	1.03
slide68.png	340.049999999999	4.03
cross	344.079999999999	1.03
slide69.png	345.109999999999	4.03
cross	349.139999999999	1.03
slide70.png	350.169999999999	4.03
cross	354.199999999999	1.03
slide71.png	355.229999999999	4.03
cross	359.259999999999	1.03
slide72.png	360.289999999999	4.03
cross	364.319999999999	1.03
slide73.png	365.349999999999	4.03
cross	369.379999999999	1.03
slide74.png	370.409999999999	4.03
cross	374.439999999999	1.03
slide75.png	375.469999999999	4.03
cross	379.499999999999	1.03
slide76.png	380.529999999999	4.03
cross	384.559999999999	1.03
slide77.png	385.589999999999	4.03
cross	389.619999999999	1.03
slide78.png	390.649999999999	4.03
cross	394.679999999999	1.03
slide79.png	395.709999999999	4.03
cross	399.739999999999	1.03
slide80.png	400.769999999999	4.03
cross	404.799999999999	1.03
slide81.png	405.829999999998	4.03
cross	409.859999999998	1.03
slide82.png	410.889999999998	4.03
cross	414.919999999998	1.03
slide83.png	415.949999999998	4.03
cross	419.979999999998	1.03
slide84.png	421.009999999998	4.03
cross	425.039999999998	1.03
slide85.png	426.069999999998	4.03
cross	430.099999999998	1.03
slide86.png	431.129999999998	4.03
cross	435.159999999998	1.03
slide87.png	436.189999999998	4.03
cross	440.219999999998	1.03
slide88.png	441.249999999998	4.03
cross	445.279999999998	1.03
slide89.png	446.309999999998	4.03
cross	450.339999999998	1.03
slide90.png	451.369999999998	4.03
cross	455.399999999998	1.03
slide91.png	456.429999999998	4.03
cross	460.459999999998	1.03
slide92.png	461.489999999998	4.03
cross	465.519999999998	1.03
slide93.png	466.549999999998	4.03
