Region,Mean_Anorexia_dB,Mean_Control_dB,t_value,df,p_raw,p_Bonferroni
P7,-0.249002561338124,-0.872135542259466,2.47941994371562,40.6477834134657,0.0173995005047097,0.400188511608324
F7,0.128657491605105,-0.335329077182626,2.17262878443923,40.8509538975279,0.0356638856054945,0.820269368926374
T8,0.0820255771660039,-0.304392616109508,2.01567376882393,40.9595510214996,0.0504266808900776,1
P3,-0.251110863745116,-0.792146601338647,2.0155375422345,38.8323447482809,0.0508066420656256,1
F8,0.103548021629871,-0.27217360094276,1.94959831457759,40.9723135555522,0.0580907517799075,1
Parietal,-0.336635887529604,-0.715549978271135,1.71460340163109,40.4877665685782,0.0940641929905156,1
Fp1,-0.0758267928883823,-0.424165974459409,1.54207200320179,40.0644340117056,0.13091850837403,1
C3,-0.0775505935570843,-0.346917822424277,1.40025873959589,40.4090849874461,0.169067591632964,1
O1,-0.468678669628041,-0.932684592608028,1.36557270711769,39.7620145455146,0.179748915919158,1
Frontal,-0.0974946509021557,-0.329332193302784,1.22074424212165,40.7115236846416,0.229206203741019,1
Fz,-0.3396415968201,-0.537807440645553,1.19439440761733,39.6491351823616,0.239420262986339,1
Occipital,-0.472085011809291,-0.813941010093721,1.16410008016183,40.1162098878125,0.251260179808896,1
T7,-0.14442506199814,-0.316795695753417,1.11927040644735,34.8284606552107,0.270684817849616,1
P8,-0.466670497454457,-0.756914390749799,1.01067168763094,38.338173282729,0.318510008337678,1
Pz,-0.332606977725812,-0.560341792130278,0.988849432508544,40.0746238655383,0.328669997031124,1
Fp2,-0.131643207189304,-0.39205582008579,0.983437062790842,40.9657184087649,0.331165220005099,1
Cz,-0.383153410335213,-0.23785925217749,-0.78892909223437,31.3201791416265,0.436085019140106,1
P4,-0.38378853738451,-0.596211564877485,0.782557156348143,40.6758458119638,0.438419492670725,1
O2,-0.475491353990542,-0.695197427579415,0.77569555384009,40.6344423012172,0.442420146246288,1
C4,-0.229923931830368,-0.352876886347999,0.513738078001372,32.8178492045236,0.610876995899338,1
Central,-0.230209311907555,-0.312551320316589,0.469099422240187,33.5568311755554,0.6420321609623,1
F3,-0.204913538835411,-0.124772944858373,-0.328204798548135,40.6696277012572,0.74444066076457,1
F4,-0.162642933816869,-0.219020494944976,0.174467313413779,35.2023364127546,0.862497764359568,1
