Region,Mean_Anorexia_dB,Mean_Control_dB,t_value,df,p_raw,p_Bonferroni
T8,-0.00425927198353645,-0.170879449510713,1.76322889307259,39.4761295775038,0.0856017221109778,1
P3,-0.219040579336978,-0.455238839690549,1.72838865607858,39.1636620988173,0.0917965341355629,1
O2,-0.365830153883174,-0.61576342730482,1.67397669381101,37.5224156202882,0.102452548225341,1
Occipital,-0.37264119296357,-0.595156463218442,1.52988984346396,40.8321198176505,0.133755117990079,1
Parietal,-0.262663734797218,-0.419770748796744,1.43095294637416,40.6953183049277,0.160078446778735,1
F8,-0.0391838980836291,-0.164191426825077,1.35403712155748,40.8066015378128,0.18317616286325,1
P7,-0.29599816367752,-0.460988645617301,1.33139846994918,40.9961712666226,0.19041429260482,1
P8,-0.313486425846313,-0.526798102529876,1.27541977418512,37.3983134084262,0.210026666065897,1
Fz,-0.114514168066312,-0.236509854214637,1.10589669269502,29.9404876402606,0.277578494037046,1
Pz,-0.197290400345499,-0.302955957349341,1.05982837739002,40.0616671271065,0.295570903360464,1
O1,-0.379452232043967,-0.574549499132065,1.04662307005658,39.9458125136003,0.30156545136207,1
Fp1,-0.152357218713176,-0.259019560636729,0.98690570324628,38.7466272651293,0.32981193078421,1
F4,-0.269080869269077,-0.0975838693721567,-0.953178907794011,34.6064803915356,0.347110163803017,1
T7,-0.295474914639223,-0.179598320932679,-0.88964646601856,31.0036504877528,0.38050712938332,1
C3,-0.245621583043181,-0.317296426193015,0.676939380888469,40.8799295997266,0.502257253558655,1
P4,-0.287503104779779,-0.352872198796653,0.400689969262509,39.6979748058024,0.690796827787204,1
F7,-0.265810017187332,-0.296277239862238,0.269477336114142,40.632104256814,0.788926200876793,1
Frontal,-0.184273775412618,-0.208448840034118,0.262705819471428,40.8049062897894,0.794099213622612,1
F3,-0.304643793026584,-0.270590381782018,-0.246794668219537,40.7629378197924,0.806305841531223,1
Central,-0.298982178009059,-0.324247879040082,0.215811178126749,30.183919633948,0.830586709517327,1
C4,-0.311956452891013,-0.340101861610232,0.207250162375402,30.5545229626352,0.837189582016328,1
Cz,-0.339368498092984,-0.315345349316998,-0.158675016189254,29.6390094106922,0.875001173465875,1
Fp2,-0.144326463542214,-0.134969547545968,-0.0887786725356622,34.4078529392207,0.929772542285432,1
