Region,Mean_Anorexia_dB,Mean_Control_dB,t_value,df,p_raw,p_Bonferroni
T7,-0.053665690168155,0.029795272791379,-0.673839698666884,33.5055472387994,0.505035651182439,1
C3,-0.00200536999614201,-0.0867607685252162,0.666152722162198,37.7863866124591,0.509360313943241,1
Fz,-0.0210294973606047,0.0491621544256062,-0.665146044975538,36.7369434922251,0.510111577803446,1
Pz,-0.0846649686888817,-0.0381962311572408,-0.65448035536604,29.8910993848709,0.517807003685671,1
F7,-0.0819136853241001,-0.150111447247351,0.590360429377674,40.8759445430805,0.558199004975925,1
P4,-0.0642438187947401,-0.0324273444491491,-0.548585537861902,38.2767413092421,0.586475738628139,1
P7,0.0458580474636824,-0.00177545115141,0.540800372870659,40.2643339082454,0.591624646809828,1
F3,-0.0520628054532346,0.000794252385400632,-0.528253758088404,39.9515719929448,0.600245479135604,1
Fp2,0.00612112659503259,0.036314819444067,-0.501386500624386,34.5947609402334,0.619274928884946,1
Fp1,-0.0455487128131547,-0.0172368661033518,-0.489987850700234,40.9599659225047,0.626756838593856,1
T8,-0.0273441210667546,0.0281882018382439,-0.447720824868912,35.1848275366749,0.657099261856659,1
Frontal,-0.034319044280283,-0.00908025100162609,-0.365400381822045,40.9915942068089,0.716691339885296,1
C4,-0.0681454213575659,-0.0343172251718626,-0.27046635750757,30.9031904278243,0.788599702220306,1
P3,0.00969843877730208,-0.00896426120069692,0.250490409681588,37.3476648401551,0.803581024580097,1
F8,-0.0244676250495325,0.00747517742010592,-0.249321125565829,34.4320339989278,0.804593750048532,1
F4,-0.0213321105563873,0.0100401526641401,-0.195302419901794,30.5153875171878,0.846450818598315,1
Central,-0.00641893366716546,-0.0215802908408575,0.162348208199672,40.9110763306067,0.871830877266499,1
Occipital,0.0387101668765287,0.0317103900933126,0.0950776293161048,34.414350653297,0.924804631190818,1
O1,0.0670709979413265,0.0570917955914215,0.0846020015523664,40.9948595727262,0.932989622398065,1
P8,-0.0625658291230386,-0.0578619854416071,-0.0693840960155879,38.9716410437944,0.945038691207557,1
Parietal,-0.0311836260731352,-0.0278450546800208,-0.0664183556084215,37.7558254352957,0.947395223050051,1
Cz,0.0508939903522116,0.0563371211745064,-0.0607918766405411,40.8927626496745,0.951821105626886,1
O2,0.010349335811731,0.00632898459520359,0.0537811080414899,40.9990996036692,0.957370773226514,1
